ts_utc,ssid,bssid_hash,auth,encryption,signal_percent,rssi_dbm_est,radio_type,band,channel,connected_stations,channel_utilization_pct,medium_available_capacity
2026-01-15T03:49:47.808884+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,77,-61.5,802.11n,2.4 GHz,11,6,10,31250
2026-01-15T03:50:48.046913+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,76,-62.0,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T04:06:24.389453+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,77,-61.5,802.11n,2.4 GHz,11,6,9,31250
2026-01-15T04:07:24.619520+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,62,-69.0,802.11n,2.4 GHz,11,6,8,31250
2026-01-15T04:08:24.846259+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,77,-61.5,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:09:25.018127+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,62,-69.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:10:25.253506+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,77,-61.5,802.11n,2.4 GHz,11,6,9,31250
2026-01-15T04:11:25.463335+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,88,-56.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:12:25.680703+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,71,-64.5,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:13:25.936179+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,75,-62.5,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T04:14:26.211676+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,62,-69.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:15:26.556391+00:00,Jonathan,8efa056b471a56da,WPA2-Personal,CCMP,22,-89.0,802.11n,2.4 GHz,1,3,7,31250
2026-01-15T04:16:26.865464+00:00,Jonathan,8efa056b471a56da,WPA2-Personal,CCMP,22,-89.0,802.11n,2.4 GHz,1,3,7,31250
2026-01-15T04:17:27.198161+00:00,Jonathan,8efa056b471a56da,WPA2-Personal,CCMP,24,-88.0,802.11n,2.4 GHz,1,3,6,31250
2026-01-15T04:18:27.519345+00:00,Jonathan,8efa056b471a56da,WPA2-Personal,CCMP,24,-88.0,802.11n,2.4 GHz,1,3,6,31250
2026-01-15T04:19:27.808279+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,60,-70.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:20:28.089323+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,62,-69.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:21:28.371889+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,62,-69.0,802.11n,2.4 GHz,11,6,6,31250
2026-01-15T04:22:28.611699+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,62,-69.0,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T04:23:28.842988+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,62,-69.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:24:29.136841+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,62,-69.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:25:29.367937+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,57,-71.5,802.11n,2.4 GHz,11,6,9,31250
2026-01-15T04:26:29.630556+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,67,-66.5,802.11n,2.4 GHz,11,6,9,31250
2026-01-15T04:27:29.888713+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,62,-69.0,802.11n,2.4 GHz,11,6,8,31250
2026-01-15T04:28:30.154693+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,57,-71.5,802.11n,2.4 GHz,11,6,9,31250
2026-01-15T04:29:30.380519+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,65,-67.5,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:30:30.621732+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,60,-70.0,802.11n,2.4 GHz,11,6,6,31250
2026-01-15T04:31:30.860316+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,65,-67.5,802.11n,2.4 GHz,11,6,9,31250
2026-01-15T04:32:31.087060+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,72,-64.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:33:31.346875+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,65,-67.5,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:34:31.590056+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,65,-67.5,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:35:31.818716+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,67,-66.5,802.11n,2.4 GHz,11,6,8,31250
2026-01-15T04:36:32.045305+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,62,-69.0,802.11n,2.4 GHz,11,6,9,31250
2026-01-15T04:37:32.317592+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,77,-61.5,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:38:32.551319+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,77,-61.5,802.11n,2.4 GHz,11,6,9,31250
2026-01-15T04:39:32.688120+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,84,-58.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:40:32.811140+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:41:32.921024+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,82,-59.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:42:33.046233+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,82,-59.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:43:33.174342+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,82,-59.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:44:33.328525+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,88,-56.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:45:33.467994+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,68,-66.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:46:33.659585+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,80,-60.0,802.11n,2.4 GHz,11,6,6,31250
2026-01-15T04:47:33.800945+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,80,-60.0,802.11n,2.4 GHz,11,6,9,31250
2026-01-15T04:48:33.938471+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,68,-66.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:49:34.097696+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,69,-65.5,802.11n,2.4 GHz,11,6,9,31250
2026-01-15T04:50:34.264278+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,68,-66.0,802.11n,2.4 GHz,11,6,10,31250
2026-01-15T04:51:34.412292+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,72,-64.0,802.11n,2.4 GHz,11,6,8,31250
2026-01-15T04:52:34.550652+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,84,-58.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:53:34.687486+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,80,-60.0,802.11n,2.4 GHz,11,6,6,31250
2026-01-15T04:54:34.826075+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,88,-56.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:55:34.967086+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,80,-60.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:56:35.097027+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,80,-60.0,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T04:57:35.224583+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,6,31250
2026-01-15T04:58:35.363583+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,5,31250
2026-01-15T04:59:35.498327+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,7,31250
2026-01-15T05:00:35.691182+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,6,31250
2026-01-15T05:01:35.829562+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,81,-59.5,802.11n,2.4 GHz,11,6,6,31250
2026-01-15T05:02:35.961924+00:00,odoxs,12ce60ad8f30ab78,WPA2-Personal,CCMP,80,-60.0,802.11n,2.4 GHz,11,6,7,31250
